"Activity"	"ActivityName"	"Subject"	"fBodyAccJerkMagMean"	"fBodyAccJerkMagMeanFreq"	"fBodyAccJerkMagStd"	"fBodyAccJerkMeanFreqX"	"fBodyAccJerkMeanFreqY"	"fBodyAccJerkMeanFreqZ"	"fBodyAccJerkMeanX"	"fBodyAccJerkMeanY"	"fBodyAccJerkMeanZ"	"fBodyAccJerkStdX"	"fBodyAccJerkStdY"	"fBodyAccJerkStdZ"	"fBodyAccMagMean"	"fBodyAccMagMeanFreq"	"fBodyAccMagStd"	"fBodyAccMeanFreqX"	"fBodyAccMeanFreqY"	"fBodyAccMeanFreqZ"	"fBodyAccMeanX"	"fBodyAccMeanY"	"fBodyAccMeanZ"	"fBodyAccStdX"	"fBodyAccStdY"	"fBodyAccStdZ"	"fBodyGyroJerkMagMean"	"fBodyGyroJerkMagMeanFreq"	"fBodyGyroJerkMagStd"	"fBodyGyroMagMean"	"fBodyGyroMagMeanFreq"	"fBodyGyroMagStd"	"fBodyGyroMeanFreqX"	"fBodyGyroMeanFreqY"	"fBodyGyroMeanFreqZ"	"fBodyGyroMeanX"	"fBodyGyroMeanY"	"fBodyGyroMeanZ"	"fBodyGyroStdX"	"fBodyGyroStdY"	"fBodyGyroStdZ"	"tBodyAccJerkMagMean"	"tBodyAccJerkMagStd"	"tBodyAccJerkMeanX"	"tBodyAccJerkMeanY"	"tBodyAccJerkMeanZ"	"tBodyAccJerkStdX"	"tBodyAccJerkStdY"	"tBodyAccJerkStdZ"	"tBodyAccMagMean"	"tBodyAccMagStd"	"tBodyAccMeanX"	"tBodyAccMeanY"	"tBodyAccMeanZ"	"tBodyAccStdX"	"tBodyAccStdY"	"tBodyAccStdZ"	"tBodyGyroJerkMagMean"	"tBodyGyroJerkMagStd"	"tBodyGyroJerkMeanX"	"tBodyGyroJerkMeanY"	"tBodyGyroJerkMeanZ"	"tBodyGyroJerkStdX"	"tBodyGyroJerkStdY"	"tBodyGyroJerkStdZ"	"tBodyGyroMagMean"	"tBodyGyroMagStd"	"tBodyGyroMeanX"	"tBodyGyroMeanY"	"tBodyGyroMeanZ"	"tBodyGyroStdX"	"tBodyGyroStdY"	"tBodyGyroStdZ"	"tGravityAccMagMean"	"tGravityAccMagStd"	"tGravityAccMeanX"	"tGravityAccMeanY"	"tGravityAccMeanZ"	"tGravityAccStdX"	"tGravityAccStdY"	"tGravityAccStdZ"
1	"WALKING"	1	-0.154067726165684	-0.143962018528632	-0.116365809347368	-0.136048822989474	-0.1504346233	-0.178256239417895	-0.178831277584211	-0.206819710347368	-0.183406159403158	-0.166737787424947	-0.191224372580105	-0.146855797451053	-0.161320239074737	-0.165976544787368	-0.147265039106316	-0.214778239613684	-0.181827223069474	-0.158222695011684	-0.174906954130526	-0.172921572478947	-0.194038199022105	-0.178380517362105	-0.184787077416842	-0.136459870409474	-0.165807208388316	-0.0947865994978947	-0.147190413782105	-0.193880486462105	-0.212129747736842	-0.134580046126316	-0.194627161742105	-0.114187468068421	-0.125969292389474	-0.176484356292632	-0.113796873270526	-0.132469504354737	-0.10498735036	-0.150030082925263	-0.190088022510526	-0.161964280670526	-0.204761275761053	-0.169267398958947	-0.191281564451579	-0.166545566890632	-0.143233075701053	-0.158687009263158	-0.174436124997895	-0.17767217356	-0.158290924276842	-0.145553448282105	-0.177210897334316	-0.157358314808853	-0.175930767111579	-0.172952882584211	-0.172760655063895	-0.177899168058947	-0.159019167515789	-0.127263873185263	-0.144464771767368	-0.179305561625263	-0.165077325696842	-0.165827476482947	-0.135457121147368	-0.174381213130526	-0.186076138198947	-0.135705825752947	-0.142199682757895	-0.159820998546316	-0.179883292209158	-0.172554207218947	-0.177095057567368	-0.183509932849474	-0.185503886669474	-0.193556763273684	-0.149335809489474	-0.132447007341684	-0.162080825938947	-0.145938259291579	-0.166283613084211
1	"WALKING"	2	-0.329158523474576	-0.303512850135593	-0.244404375101695	-0.283274592455932	-0.283463539908475	-0.258306545405085	-0.245005125972881	-0.261672491035593	-0.254746305864407	-0.242238012050847	-0.264707631830508	-0.270472487254237	-0.283629647949153	-0.281687906411864	-0.246939053072881	-0.262940786084746	-0.256606412891525	-0.236977346573559	-0.231662975271186	-0.247503749325424	-0.254453640059322	-0.260887594067797	-0.269638630338983	-0.247498448237288	-0.30475857559322	-0.277164043915254	-0.247433907923729	-0.282085499016949	-0.280273948559492	-0.261265193737288	-0.284215433423729	-0.281537479830508	-0.28525211159661	-0.261915972983051	-0.271510009118644	-0.285284955830508	-0.278923201237288	-0.260947176067797	-0.258252773527119	-0.230110721220339	-0.239855368932203	-0.25869007159322	-0.25666725440678	-0.237295124040678	-0.297622096227797	-0.275119931474576	-0.263196670077966	-0.249772114950847	-0.256324473508475	-0.259920713761017	-0.231805600474576	-0.258588275457627	-0.286980369828814	-0.301131735519153	-0.299330124957627	-0.245319126169492	-0.264221766835593	-0.243798944088136	-0.260280103374576	-0.251790108122034	-0.248648760279153	-0.247156629728814	-0.275319319627119	-0.250361145758475	-0.253131699857627	-0.242614761423729	-0.240194297237288	-0.241002168515254	-0.279080078447797	-0.277473513720339	-0.282477083583051	-0.248649483949153	-0.236729864798305	-0.251919322288136	-0.235628681305085	-0.233939302932203	-0.283404250072881	-0.276506867342373	-0.298088422416949
1	"WALKING"	3	-0.259021659310345	-0.232954643896552	-0.292564572832759	-0.256330491068965	-0.312544290094828	-0.224835013741379	-0.254689825810345	-0.275352540448276	-0.251132034913793	-0.247258848394828	-0.232586023249655	-0.278516944103448	-0.25155130991569	-0.244696517137931	-0.24847624222069	-0.251991896377586	-0.252524388524138	-0.293992847575862	-0.290171455086207	-0.321298347717241	-0.326360528124138	-0.28149953412069	-0.270111868189655	-0.270993551182759	-0.268281941415517	-0.323305596818966	-0.284869097237931	-0.258912494727586	-0.256122191189655	-0.276872351855172	-0.270067545248276	-0.2701214095	-0.253526621644828	-0.264663823851724	-0.248620218665517	-0.225187966586207	-0.293900301298276	-0.296138121696552	-0.276289855686207	-0.277269953475862	-0.306946945258621	-0.307826803551724	-0.292453090639655	-0.269232414925862	-0.231650374122414	-0.256907802941379	-0.247946473236724	-0.287991374372414	-0.292100619775862	-0.302005500615	-0.352328545305345	-0.280272940846552	-0.284705280241379	-0.257032535748276	-0.232430155047586	-0.285146310787931	-0.266177698034483	-0.31096945962069	-0.287826083348276	-0.302390053186207	-0.274995556910345	-0.253438457732759	-0.239835649462069	-0.241404521724138	-0.268405057482759	-0.28602153927931	-0.320697232424138	-0.296761623913793	-0.245605684224138	-0.279875799225862	-0.241687686075862	-0.312496689096552	-0.282576900617241	-0.307376809625862	-0.316936186706897	-0.286289366551724	-0.246909915448276	-0.232162107396552	-0.278506445168965
1	"WALKING"	4	-0.311712829128333	-0.341059608095	-0.323791686865	-0.3612360551	-0.340426195108333	-0.364888669283333	-0.304821135666667	-0.361257474613333	-0.35963989575	-0.36959283502	-0.345194064436667	-0.362206048783333	-0.27722230195	-0.294527827831667	-0.2889598636	-0.31287435037	-0.349813378366667	-0.331734094241667	-0.281082937033333	-0.281539380915	-0.293949050297167	-0.365880143913333	-0.388298996616667	-0.399671152365	-0.315151173141667	-0.355109238901667	-0.270771267865	-0.298866354536667	-0.345150745511667	-0.3117889395	-0.3598999745	-0.33561852145	-0.29465370566	-0.326217230666667	-0.3310257111	-0.3515121663	-0.337690509116667	-0.337535175825	-0.317453163716667	-0.349912883983333	-0.3399833588185	-0.360026458156667	-0.409624243933333	-0.3885708767995	-0.3680582425	-0.319388893493333	-0.249329842175	-0.346913025566667	-0.347440756613333	-0.292757916170667	-0.32272925984	-0.32219447117	-0.374082477775	-0.35277964675	-0.336239051415833	-0.268919377038333	-0.3613093812915	-0.3544291157	-0.3524708829	-0.332270976351667	-0.311437541003333	-0.317148981501667	-0.329754012016667	-0.3003513541145	-0.340279606131667	-0.38538167495	-0.380203757616667	-0.334980115266667	-0.28595064448	-0.349320052933333	-0.321493397801667	-0.32905707333	-0.334831648983333	-0.299999868433333	-0.305605751975	-0.369898169545	-0.313281859083333	-0.344146056433333	-0.353311923186667
1	"WALKING"	5	-0.236605777114286	-0.239282490942857	-0.248465442571429	-0.26551528925	-0.256149135148214	-0.250761972483929	-0.261360635617857	-0.268388783364286	-0.285621700623214	-0.240604335321429	-0.235383802844643	-0.263390384742857	-0.264420928214286	-0.2524420274375	-0.201688208303571	-0.269352718607143	-0.250314662708929	-0.253722215116071	-0.294482463332143	-0.272882070167857	-0.283231303491071	-0.241398295392857	-0.241356903108929	-0.199415528673214	-0.244945879141071	-0.279074254821429	-0.267863324432857	-0.223781802178571	-0.243626185881071	-0.310772813228571	-0.242851553526786	-0.272327885658929	-0.313582152	-0.255326350898214	-0.245475815046429	-0.226838709071429	-0.270602782428571	-0.2496610331375	-0.216351085751786	-0.282969415328571	-0.22682099905	-0.23583097819375	-0.248285256303571	-0.288141256132143	-0.252267110589286	-0.255000187448214	-0.277536012364286	-0.269429273541071	-0.218453023892857	-0.28188800670875	-0.279277426549518	-0.236424209521429	-0.26266291575	-0.253250872026786	-0.259538138441071	-0.292665286851786	-0.2415689259625	-0.288572420719643	-0.2737052993375	-0.286591055576786	-0.214321437709464	-0.200241736385714	-0.212040215232143	-0.249097407414286	-0.244963706017857	-0.277480516366071	-0.268047130321429	-0.276987611521429	-0.261403070285714	-0.236600289325	-0.239717411016071	-0.305459256623036	-0.241651882258929	-0.233537971992857	-0.262538509071429	-0.228123754183929	-0.258590490717857	-0.256354259425	-0.265129934685714
1	"WALKING"	6	-0.211770832945965	-0.211011633701754	-0.184100920842105	-0.199183406726316	-0.212263835394737	-0.216523547840351	-0.157426959952632	-0.164436114421053	-0.179464397001754	-0.204221331017544	-0.261533933342105	-0.218820667619298	-0.236342488263158	-0.233048278194737	-0.215631440196491	-0.169486640389474	-0.126840689887544	-0.177796310803509	-0.182124195748947	-0.186489918273684	-0.23825084342807	-0.15731719404386	-0.177309039333333	-0.175752308917544	-0.153660835485965	-0.200412600396491	-0.242585575368421	-0.20114090636807	-0.193848012447368	-0.210503409782456	-0.152364836521579	-0.184211218049123	-0.215139705070175	-0.196079425857895	-0.185218467085965	-0.192805475842105	-0.223876835532281	-0.220515367196491	-0.228218675484211	-0.162004053850877	-0.1847895403	-0.168917272396491	-0.172567390464912	-0.119021476363158	-0.116364065087719	-0.173648387477193	-0.219088410977193	-0.219995344473684	-0.159479354964912	-0.217804437614035	-0.180663185350877	-0.165116292810526	-0.21475868024386	-0.204792209870175	-0.161733197721053	-0.169986938877193	-0.170952275250877	-0.227245669652632	-0.1781773744	-0.191898922666667	-0.176527585985965	-0.163761900263158	-0.151752017385965	-0.197763536245614	-0.154392971863158	-0.147997479662632	-0.212556278182456	-0.179558064221053	-0.243946479889474	-0.200353351375439	-0.188634856140351	-0.170951228522807	-0.200867075542105	-0.202980413649123	-0.203418625368421	-0.159025345807018	-0.191895911859649	-0.183168728280702	-0.16642030177193
1	"WALKING"	7	-0.159304081614035	-0.168024435029825	-0.121465937205263	-0.149613397264912	-0.177079888017544	-0.200762257614035	-0.131206265985965	-0.169094672147368	-0.169647535315789	-0.137523216349123	-0.154814137564912	-0.114041054487368	-0.16202618703193	-0.187251490926316	-0.0749652514578947	-0.172161256682456	-0.176690820768421	-0.140252875931579	-0.176981786894737	-0.175878023364912	-0.175402810785965	-0.241498365508772	-0.192698276147368	-0.193407684394737	-0.147223674707018	-0.158605641489474	-0.105753362614035	-0.13316097905614	-0.155143001350877	-0.105032656734035	-0.15935067217193	-0.157446786358421	-0.166796063701754	-0.22073951362807	-0.192732546161404	-0.180806557984211	-0.116707427035088	-0.132318175403509	-0.153537030075439	-0.18438730574386	-0.176544244512281	-0.0850058740157895	-0.146142830254386	-0.124718631366316	-0.124809939019298	-0.147307918440351	-0.124178775107018	-0.144164472578947	-0.214553303508772	-0.125657650968421	-0.118676477112281	-0.137376840174035	-0.17511164268507	-0.156492281507018	-0.153623770020526	-0.152972743038596	-0.191990339200632	-0.143348901315789	-0.148843903088947	-0.144771079335789	-0.17867199362807	-0.17040245345614	-0.184554958422807	-0.175970520438596	-0.196712120578947	-0.146733354745614	-0.144115277545614	-0.150941328129825	-0.131404061596491	-0.133395788773684	-0.173043992627544	-0.161758933294737	-0.181496609894737	-0.138440799364912	-0.0682169767842105	-0.0817423987684211	-0.178035855173509	-0.12657974952	-0.115617002385789
1	"WALKING"	8	-0.127698082222917	-0.0616109648125	-0.130249226683333	-0.155026189291667	-0.2015056625625	-0.2219823433125	-0.0839115399895833	-0.0943301738979167	-0.160524023902083	-0.112827453	-0.170231990666667	-0.20575192975	-0.134415455208333	-0.140183094927083	-0.164388676083333	-0.187616251703958	-0.1728952675125	-0.16157779434375	-0.196948913833333	-0.172095208618542	-0.196046580089583	-0.156515958604167	-0.1795759318875	-0.1516777182875	-0.17062158815625	-0.0994124929375	-0.131607045452083	-0.107387010075	-0.15159887225	-0.0844775988270833	-0.0895690713125	-0.1573435325	-0.1012567359375	-0.187919835366667	-0.129109511572917	-0.105799252083333	-0.151593363564583	-0.108814595541667	-0.147641450416667	-0.1576782999375	-0.137136204416667	-0.11405377260625	-0.141243528291667	-0.11136453906375	-0.118234310841667	-0.130267344269375	-0.141817307316667	-0.142221077939583	-0.18270221228125	-0.111742246166667	-0.1153328633125	-0.1447661384375	-0.0802932144583333	-0.125460956579167	-0.0939939255625	-0.175805397855771	-0.1732442387125	-0.140122376405417	-0.14357609243125	-0.13863084837875	-0.204090047158333	-0.222246540104167	-0.198298412877083	-0.175171059008333	-0.186748938495833	-0.154917462160417	-0.158714604122917	-0.169123405	-0.157347800585417	-0.153841666916667	-0.214006567991667	-0.141620508983333	-0.1328537796875	-0.1889249469375	-0.17601819885	-0.140073051791667	-0.102387238291667	-0.1225637120625	-0.127040124085417
1	"WALKING"	9	-0.263799813326923	-0.23630658875	-0.258867786240385	-0.246941809642308	-0.205545422211538	-0.220008585103846	-0.272438150509615	-0.246394073571154	-0.237390507365385	-0.224087532905192	-0.209303179636154	-0.220642073923077	-0.238400740948077	-0.268394121467885	-0.277180496115385	-0.277059505923077	-0.234289953357692	-0.251902238192308	-0.2405793678425	-0.230622820913462	-0.267553059507692	-0.181236132788462	-0.180335560211538	-0.220145724844231	-0.285787788609615	-0.228322699625	-0.260399701961538	-0.198662787153846	-0.193943257461538	-0.257376677771154	-0.247138589023077	-0.225850612063462	-0.247469101230769	-0.214988659576923	-0.226769990196154	-0.210970442923077	-0.241755514076154	-0.292008808038462	-0.24909570945	-0.274234752612423	-0.204343110125	-0.319785812346154	-0.277993292804808	-0.268386377223077	-0.272177798326923	-0.28225350825	-0.277528901563462	-0.269303738903846	-0.275534402596154	-0.266946770561538	-0.284854888557692	-0.318531677732692	-0.251021485825885	-0.290336417730769	-0.262173641019231	-0.252063937288462	-0.219906119596154	-0.279952301597692	-0.270211655265385	-0.255616115415385	-0.290627197780769	-0.26514447339	-0.267465393730769	-0.249009350288462	-0.193564453519231	-0.245576411865385	-0.275555720147885	-0.265333451648077	-0.261431791408442	-0.253629826842308	-0.254485342380769	-0.266822600269231	-0.269919032692308	-0.307534704447885	-0.304161107269231	-0.304400213621154	-0.251718174464231	-0.241074477613462	-0.242864332432692
1	"WALKING"	10	-0.168898988037736	-0.190945070490566	-0.160315294571698	-0.169243998022642	-0.148753315509434	-0.150564467386962	-0.209787721316981	-0.211348373056604	-0.185423240688679	-0.167300808015094	-0.151857315418868	-0.121754456373585	-0.160893213509434	-0.166113912303774	-0.20257744825283	-0.178826932101887	-0.156808645839623	-0.194846953235849	-0.164775654509434	-0.18213620990566	-0.191823556245283	-0.138888848354717	-0.180026479013208	-0.172772093943396	-0.142638250328302	-0.165091507962264	-0.214629413169811	-0.178187518664151	-0.181348728132075	-0.164773121564151	-0.197654222396226	-0.168994031026283	-0.149921639945283	-0.174833142220755	-0.22417715900566	-0.201532837188679	-0.168130830471698	-0.200770510760377	-0.204146301849057	-0.224652966407547	-0.150143051600943	-0.196068305245283	-0.182107026628302	-0.155658525698113	-0.178963947301887	-0.165540790484906	-0.173884416883019	-0.138932487545283	-0.208266130115094	-0.192637545062264	-0.189000875511321	-0.199491109726415	-0.19644822034717	-0.142764413280566	-0.172245006178679	-0.201386760209434	-0.157066137358491	-0.197225543349057	-0.135905320373585	-0.152384119056604	-0.163364083901887	-0.180283582798302	-0.177928906381132	-0.19255119109434	-0.156244050207547	-0.147234092558491	-0.164997625009434	-0.211903509377358	-0.17055079354717	-0.1594563664	-0.169140219203774	-0.138484175820755	-0.19413992154717	-0.182722695035283	-0.194604068877358	-0.199984961150943	-0.180139515092453	-0.171818964679245	-0.174464811416981
